"","logFC","logCPM","LR","PValue","FDR"
"PITA_06805",-10.0269441719491,2.66332340824836,92.2779200350932,7.53199844852446e-22,1.95899747647673e-18
"PITA_00209",-10.4017819040573,3.02666432619866,89.7730229600972,2.67111783465143e-21,5.78942531345409e-18
"PITA_25299",-9.17209450059816,1.84682150119081,72.6433652698428,1.55328194301919e-17,2.12627947663084e-14
"PITA_13583",-9.53942124315527,2.19534381697908,67.9256555938071,1.69777675705669e-16,2.10273693687083e-13
"PITA_05817",-4.44824724400871,3.07212646751057,52.5273616110361,4.24295575716908e-13,3.34409200873366e-10
"PITA_45678",-6.34041270937047,1.80603987054286,44.7061718964053,2.2893453388466e-11,1.41770435519193e-08
"PITA_41896",-3.77456480307021,2.85082424612139,36.7868609846995,1.31775358913352e-09,4.69499357531146e-07
"PITA_46254",-3.48244712447145,7.83117817333389,35.5811982568338,2.44637400356025e-09,8.48369886114646e-07
"PITA_29196",-3.99899912162355,3.27673379344568,35.1827749289095,3.00166819330158e-09,1.02724194788922e-06
"PITA_38610",-5.29968159216442,1.28756310175548,34.9265598612652,3.42378447097688e-09,1.15648325072257e-06
"PITA_17720",-4.20011388513977,4.79596671386044,34.7252677637004,3.79671565282568e-09,1.26600996685055e-06
"PITA_26356",-2.73686480445299,5.56638926148725,34.0478750972781,5.37725985165658e-09,1.7482143935217e-06
"PITA_24919",-2.68119647854543,6.13796790870725,31.4676755583295,2.02788168275221e-08,5.61097603050024e-06
"PITA_31850",-3.73222378720488,2.36857341958678,29.946119230393,4.44220078036471e-08,1.12172038928646e-05
"PITA_22123",-2.87404670286485,4.74668896641297,29.8540001574883,4.65834778189699e-08,1.15389492818437e-05
"PITA_23069",-2.00638061388726,6.36346114761051,28.6364720422852,8.73218924984602e-08,2.0278170553504e-05
"PITA_07907",-4.13900993956736,1.34539844764622,28.0413291044443,1.1875199903517e-07,2.68575716774412e-05
"PITA_00986",-2.68874316501064,4.19037874583534,27.9182164556202,1.26552705158664e-07,2.78941466819635e-05
