"","logFC","logCPM","LR","PValue","FDR"
"PITA_45726",9.42996338900396,5.15721951948289,186.634955161459,1.72536662565165e-42,4.48750605665737e-38
"PITA_40477",11.3767137036017,3.97850720661616,163.546647510901,1.9002025876223e-37,2.47111845507342e-33
"PITA_34642",12.5013013578092,5.09769167563024,161.324188156323,5.81214440377406e-37,5.03893545992532e-33
"PITA_21495",4.75390853419771,4.59313985602874,115.27323393065,6.85680833106252e-27,4.45846819706513e-23
"PITA_07064",3.85237443316006,8.28464756962089,111.897066770669,3.76351204933812e-26,1.9577036978247e-22
"PITA_20445",3.95012153054827,9.95953540866714,104.787523732808,1.35960765101856e-24,5.8936725658903e-21
"PITA_13285",10.6127062531185,3.22097048553088,98.7323910653232,2.89035643096938e-23,1.07393257732975e-19
"PITA_49717",11.3641324594544,3.9710571673765,97.4307525259524,5.57730561746798e-23,1.81325177255906e-19
"PITA_23254",9.95940052618181,2.58667725695053,94.2787630342643,2.74075085800231e-22,7.92046545175357e-19
"PITA_25260",7.93706535527707,3.17198048564849,90.5360289017636,1.81639079948132e-21,4.29477348215543e-18
"PITA_29149",10.8396150562597,3.45408013655862,88.67944256483,4.64264947011775e-21,9.28851308217635e-18
"PITA_15444",11.5512981006811,4.15430530178632,88.4296129637052,5.26762930092085e-21,9.78612646340359e-18
"PITA_32490",7.37920740341586,2.63473308506394,84.7352863423696,3.4110810987782e-20,5.91458721987482e-17
"PITA_41407",7.11522544833705,5.02956215163957,83.1851679953014,7.47162209925945e-20,1.21455886987274e-16
"PITA_23992",9.39519742919502,2.03873251022287,82.7404991282348,9.35644553402122e-20,1.43148112879034e-16
"PITA_24441",6.98059062162908,4.69270858350059,78.2314535765623,9.16475353519771e-19,1.32425597053865e-15
"PITA_00577",9.108339047686,1.76737211390555,71.0652644557224,3.45601371918395e-17,4.49437304111277e-14
"PITA_08448",3.7505198867593,5.85681854247551,67.6805740853704,1.92248363036263e-16,2.27281257918644e-13
"PITA_03091",4.93295111817191,3.59107024840628,67.5205251288454,2.08505136208017e-16,2.35783047288449e-13
"PITA_36517",2.92508602459083,9.07246803501967,67.2278807781024,2.4186929823583e-16,2.62115774075654e-13
"PITA_25599",5.47367598236254,6.30811507367985,66.4694295718375,3.55362283099574e-16,3.69704704845472e-13
"PITA_12330",11.5388561353017,4.14272894483699,64.5728643915171,9.30277406891286e-16,9.30599425993672e-13
"PITA_05464",5.68546282516258,2.6025292469333,63.6951361870459,1.45242742009121e-15,1.39911795441305e-12
"PITA_33662",7.23213697043675,1.73573278944106,57.0804913502214,4.18334899042363e-14,3.88588299614029e-11
"PITA_47363",8.87441456098641,1.55430746203375,56.4278264047709,5.82994639069074e-14,5.22865778191295e-11
"PITA_39929",3.3223001878212,5.55520231676033,56.1035364797174,6.87533375571052e-14,5.96068518840916e-11
"PITA_08209",5.29556003916817,3.08841130634906,54.7803074472876,1.34784563724711e-13,1.13084248965032e-10
"PITA_07942",7.33212919009414,3.48518667876839,53.7455480992888,2.28210735253348e-13,1.85485406662636e-10
"PITA_30342",9.3730292572569,2.0015921846544,52.0370750684455,5.44625388097433e-13,4.16622403500769e-10
"PITA_27636",3.29466543906529,5.43722245799856,50.9112542762978,9.66379013087915e-13,7.18130050040102e-10
"PITA_44205",3.69545353128594,4.68949816492063,50.1073714417342,1.45559157122901e-12,1.05162447711376e-09
"PITA_43112",3.68122424216055,7.22353941484106,49.2405899293502,2.26416874764925e-12,1.59158824209755e-09
"PITA_23553",3.49494269924907,4.12922687875834,47.8079519428996,4.70081521641985e-12,3.2174606043122e-09
"PITA_04373",10.2127108877112,2.84731535885326,47.2329402505735,6.30322035875607e-12,4.20360149515094e-09
"PITA_11859",2.57568926965155,6.45977667969798,46.5564534486921,8.90166080966452e-12,5.78808239996412e-09
"PITA_00967",2.73947792564678,5.05444031402351,44.9434908296359,2.02803224737217e-11,1.28651440785129e-08
"PITA_22157",7.13767474956255,1.64232163303825,44.4415757325816,2.62062217118471e-11,1.5776695747179e-08
"PITA_41232",6.20808410092871,6.38474454821057,44.4057806457908,2.66897848004874e-11,1.5776695747179e-08
"PITA_31556",3.85245173628815,4.57396396841153,43.595336619801,4.03800141590704e-11,2.33387508502947e-08
"PITA_47823",2.62824799285067,5.84804538297909,43.3830217332292,4.50076400745642e-11,2.50088275086633e-08
"PITA_26516",2.85218903881874,6.24685082202136,43.374995908489,4.51926215120603e-11,2.50088275086633e-08
"PITA_42897",2.3242350939887,7.98846661289992,43.1463745334268,5.07939301122795e-11,2.75229026727141e-08
"PITA_44090",3.85240499593866,4.40481234973933,43.0760460030199,5.26529737599209e-11,2.7947983561669e-08
"PITA_40371",3.71784057311585,6.55773990731486,42.8679994978733,5.85607853360648e-11,3.04621493161142e-08
"PITA_46720",2.57805240230911,5.25869497086677,42.2356112851671,8.09131390688219e-11,4.12641143929606e-08
"PITA_12400",8.18692032626922,0.922721817690045,42.1728219340381,8.35531617404305e-11,4.17910419943626e-08
"PITA_33251",8.35517551805005,1.036494711339,41.8988607385568,9.61186246509356e-11,4.71688548782299e-08
"PITA_15611",3.92353863805746,4.80858600159238,41.6135219263497,1.11221348109601e-10,5.35695563515296e-08
"PITA_14368",5.57161257923689,2.84483782567582,41.5441594680244,1.15238244823549e-10,5.44951183566487e-08
"PITA_32480",8.06888692124531,0.78105269919772,41.1580691800329,1.40402430287566e-10,6.52094073098088e-08
"PITA_16805",5.4666846149978,1.96024256374794,40.7063127173866,1.76914731358754e-10,8.07258815422776e-08
"PITA_39753",4.87302441299334,3.16174803185247,40.6243640767343,1.84491874970536e-10,8.26765622105975e-08
"PITA_04324",5.40939550354494,1.89112233244775,40.5614334745884,1.90530384831275e-10,8.26765622105975e-08
"PITA_02699",5.67329518705199,2.32669260048457,40.5594279331205,1.90726046085426e-10,8.26765622105975e-08
"PITA_24322",7.81168450595652,0.564355801419984,40.4009347279263,2.06842120247691e-10,8.8192732877413e-08
"PITA_33335",3.31146707217263,3.05980011231942,39.6755406776855,2.99857485411202e-10,1.25790215129999e-07
"PITA_28142",6.24143478147295,3.13635412043436,39.4596988403066,3.34900225965315e-10,1.38260634557649e-07
"PITA_42670",2.88332125172018,3.75059813801579,39.1770716737874,3.87059031025643e-10,1.55673089994356e-07
"PITA_40960",4.83006814651548,2.97898874379906,39.1670642085012,3.89048054505484e-10,1.55673089994356e-07
"PITA_38468",6.15073871462352,1.9516265622961,39.0843943498492,4.05875354338155e-10,1.59945637742137e-07
"PITA_36266",7.5042049369693,3.25383938453109,38.9759551009246,4.29057711343879e-10,1.66557642005119e-07
"PITA_33524",5.03185413339226,1.2545060071808,38.1076031132525,6.69487455045308e-10,2.5606910615108e-07
"PITA_31536",2.72390443312158,5.50529785998577,37.9030401443794,7.43492919564032e-10,2.80253729636825e-07
"PITA_50420",2.15255698953986,8.32696441368639,37.5095351452002,9.09671864367057e-10,3.37995078861754e-07
"PITA_30131",6.56655364334224,1.12780307958453,37.1115120004736,1.11563137755531e-09,4.08682485899098e-07
"PITA_33915",7.99792508560394,0.738049699681711,36.7943167017994,1.31272372189054e-09,4.69499357531146e-07
